id,datum_anfang,datum_ende,luft_max,luft,luft_min,windstaerke,sonnenschein,niederschlag,max_max_luft,min_min_luft,max_windspitze,max_niederschlag
403,2015-06-01,2015-06-30,22.1,16.6,11.2,2.43,219.5,40.4,30.8,5.3,16.3,16.9
403,2015-07-01,2015-07-31,25.4,19.7,14,2.71,250.4,72.2,37.9,7.8,19.8,18.4
403,2015-08-01,2015-08-31,28.9,21.7,15.4,2.45,292.5,26.2,37.5,7.2,15.8,10
2290,2015-06-01,2015-06-30,19.1,15,11.2,2.6,205.6,132.5,25.7,5.1,18.7,18.8
2290,2015-07-01,2015-07-31,24.3,19.5,14.8,2.65,279.1,46,32,8.2,27.4,8.8
2290,2015-08-01,2015-08-31,23.8,18.9,14.6,2.39,274.8,109.3,31.6,9.1,18.2,33.9
5099,2015-06-01,2015-06-30,24.1,17.9,11.1,-999,-999,42.8,33.9,7.1,-999,12.6
5099,2015-07-01,2015-07-31,28.2,21.4,14.5,-999,-999,22.6,38.3,7.3,-999,8.1
5099,2015-08-01,2015-08-31,27.6,20.6,14.4,-999,-999,57.5,37.1,8.6,-999,17.1
2444,2015-06-01,2015-06-30,23.3,17.3,11.6,-999,-999,50.3,33.1,6.1,-999,11.1
2444,2015-07-01,2015-07-31,28,21.3,14.9,-999,-999,69.8,38.7,8.2,-999,21.4
2444,2015-08-01,2015-08-31,28.6,21.5,15.4,-999,-999,99,38.7,9.5,-999,39.5
3126,2015-06-01,2015-06-30,22.3,16.6,10.5,1.97,217.1,24.2,30.7,6,14.3,9.9
3126,2015-07-01,2015-07-31,25.7,20,14.3,2.23,240.8,91.5,38.1,8.6,20.7,30.6
3126,2015-08-01,2015-08-31,27.5,21.1,15.1,1.77,263.2,111.2,34.9,7.6,17.5,33.4
320,2015-06-01,2015-06-30,22.2,16.2,10,-999,183.6,60.1,32.8,5.4,-999,14.7
320,2015-07-01,2015-07-31,27,20.1,12.1,-999,265,26.6,36,4.8,-999,6.2
320,2015-08-01,2015-08-31,28.2,20.7,13,-999,239.7,24.3,37.4,5.8,-999,6.8
691,2015-06-01,2015-06-30,20.7,15.3,8.9,2.67,213.5,23.3,29.4,3.4,18.2,7.5
691,2015-07-01,2015-07-31,23.6,18.4,13.1,2.9,207.4,94.1,36.8,7.9,18.3,16
691,2015-08-01,2015-08-31,24.5,19.1,13.5,2.48,218,115.3,32.4,7.5,15.3,34.2
2629,2015-06-01,2015-06-30,22,16.2,10,-999,-999,33.7,34.1,5,-999,7.5
2629,2015-07-01,2015-07-31,24.7,18.9,13.4,-999,-999,63.4,38.6,5.2,-999,9.2
2629,2015-08-01,2015-08-31,25,18.9,13,-999,-999,156.6,33.1,8.5,-999,29.2
2928,2015-06-01,2015-06-30,22,16.5,11.1,1.93,195.7,51.8,31.6,5.6,15.7,13.5
2928,2015-07-01,2015-07-31,26.7,20.5,14.3,2.06,258.1,101.5,36.6,8.1,18.9,39.8
2928,2015-08-01,2015-08-31,27.6,21.1,14.6,1.61,252.7,80.8,36.2,8.9,15,29.9
4024,2015-06-01,2015-06-30,18.3,14.1,9.2,2.63,238.7,65.3,25.2,5.8,15.8,23.9
4024,2015-07-01,2015-07-31,21.5,16.9,12.1,2.74,240.6,75.5,30.4,8.3,19.5,15.3
4024,2015-08-01,2015-08-31,23.6,18.7,13.9,2.35,292.4,55.7,31.2,7.7,16.6,18.6
3023,2015-06-01,2015-06-30,21.2,15.6,9.7,2.03,214.9,39,31.8,5,15.7,11.8
3023,2015-07-01,2015-07-31,24.2,18.8,14,2.19,214.4,88.8,36.4,7.5,19.5,25.1
3023,2015-08-01,2015-08-31,24.6,18.9,13.5,1.9,210.3,102.3,32.4,8.5,21.4,30.8
2014,2015-06-01,2015-06-30,21.1,15.8,9.8,2.53,210.2,33.3,30.5,3.8,18.7,14.2
2014,2015-07-01,2015-07-31,24,18.9,13.7,2.84,211.7,74.1,36.4,8.5,21.6,20.3
2014,2015-08-01,2015-08-31,25.7,19.8,13.8,2.42,214.2,109.6,33.7,7.8,19.9,38.5
1691,2015-06-01,2015-06-30,21.1,15.4,8.2,2.17,184.6,23.1,31.6,1.5,16.2,10.1
1691,2015-07-01,2015-07-31,24.8,18.7,12.3,2.42,217,91,35.7,4.7,24.9,17.2
1691,2015-08-01,2015-08-31,26.5,19.6,12.8,2.16,233.8,113.7,34.6,6,16.7,50.1
2578,2015-06-01,2015-06-30,19.6,15.1,10.5,-999,-999,19.5,29.6,6.2,-999,8.5
2578,2015-07-01,2015-07-31,23,17.9,13.1,-999,-999,72.6,35.1,9.4,-999,10.2
2578,2015-08-01,2015-08-31,24.1,18.9,14.1,-999,-999,71.1,33.1,8.2,-999,21.3
1443,2015-06-01,2015-06-30,24.2,18.6,11.9,1.87,225.8,99.9,33.3,5.9,18.1,36.9
1443,2015-07-01,2015-07-31,29.7,22.6,14.6,-999,296.4,-999,37.3,5.3,16.6,42.3
1443,2015-08-01,2015-08-31,28.5,21.3,14.1,1.81,247.7,39.1,38.2,8.3,21.6,13
1544,2015-06-01,2015-06-30,22.1,16,8.7,2.07,189.4,21.2,30.7,2.4,14.5,5.5
1544,2015-07-01,2015-07-31,25.2,19.1,12.5,2.29,226.1,89.4,38.8,5.5,22.9,17.7
1544,2015-08-01,2015-08-31,26.8,19.9,13,1.71,248.4,110.1,34.2,5.3,16,33.2
3231,2015-06-01,2015-06-30,20.5,15.5,10.5,2.4,190.4,40,29.5,5.5,13.7,10.7
